A001|2024-12-01|D001
A002|2024-12-02|D002
A003|2024-12-03|D003
A004|2024-12-04|D004
A005|2024-12-05|D005
A006|2024-12-06|D006
A007|2024-12-07|D007
A008|2024-12-08|D008
A009|2024-12-09|D009
A010|2024-12-10|D010
A011|2024-12-11|D001
A012|2024-12-12|D002
A013|2024-12-13|D003
A014|2024-12-14|D004
A015|2024-12-15|D005
A001|2024-12-10|D001
A002|2024-12-15|D002
A003|2024-12-20|D003
A004|2024-12-25|D001
A005|2024-12-30|D004
A006|2025-01-05|D005
A001|2024-12-10|D001
A002|2024-12-15|D002
A003|2024-12-20|D003
A004|2024-12-25|D001
A005|2024-12-30|D004
A006|2025-01-05|D005
A001|2024-12-10|D001
A002|2024-12-15|D002
A003|2024-12-20|D003
A004|2024-12-25|D001
A005|2024-12-30|D004
A006|2025-01-05|D005
